Age Group,Gender,Country,Education Level,Recent Job Title,Coding Experience,Industry,Company Size,Num Language,Average Annual Salary ($USD)
30-34,Man,Japan,Bachelor’s degree,Machine Learning Engineer,10-20 ,Online Service/Internet-based Services,0-49 ,1,84999.5
35-39,Man,United Arab Emirates,Master’s degree,Other,I have never written code,Retail/Sales,"1000-9,999 ",0,84999.5
35-39,Woman,Greece,Master’s degree,Data Analyst,< 1 ,Accounting/Finance,250-999 ,1,27499.5
30-34,Woman,India,Professional doctorate,Data Analyst,1-3 ,Academics/Education,0-49 ,1,499.5
22-24,Man,Morocco,Master’s degree,Statistician,1-3 ,Insurance/Risk Assessment,0-49 ,4,499.5
40-44,Man,Ireland,Master’s degree,Software Engineer,10-20 ,Manufacturing/Fabrication,250-999 ,2,84999.5
35-39,Man,India,Master’s degree,Data Scientist,5-10 ,Marketing/CRM,"10,000 or more ",2,54999.5
22-24,Man,India,Master’s degree,Data Scientist,1-3 ,Computers/Technology,"10,000 or more ",6,499.5
25-29,Man,Czech Republic,Master’s degree,Data Engineer,3-5 ,Government/Public Service,50-249 ,3,34999.5
60-69,Man,India,Master’s degree,Program/Project Manager,10-20 ,Computers/Technology,0-49 ,1,499.5
40-44,Man,Japan,Master’s degree,Research Scientist,10-20 ,Manufacturing/Fabrication,"10,000 or more ",1,84999.5
22-24,Man,Mexico,Master’s degree,Data Scientist,3-5 ,Computers/Technology,"10,000 or more ",1,22499.5
25-29,Man,Viet Nam,Bachelor’s degree,Research Scientist,3-5 ,Computers/Technology,50-249 ,4,1499.5
22-24,Man,South Africa,Bachelor’s degree,Data Scientist,< 1 ,Other,50-249 ,2,499.5
45-49,Man,Japan,Some college/university study without earning a bachelor’s degree,Research Scientist,< 1 ,Academics/Education,50-249 ,1,44999.5
50-54,Prefer not to say,Italy,Master’s degree,Data Engineer,20+ ,Marketing/CRM,0-49 ,5,499.5
30-34,Man,Nigeria,Bachelor’s degree,Software Engineer,5-10 ,Academics/Education,0-49 ,4,499.5
18-21,Woman,Kenya,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,0-49 ,4,499.5
30-34,Man,Romania,Master’s degree,Data Scientist,3-5 ,Accounting/Finance,50-249 ,2,44999.5
45-49,Woman,Morocco,Master’s degree,Other,< 1 ,Medical/Pharmaceutical,"10,000 or more ",1,34999.5
30-34,Man,Kenya,Master’s degree,Other,10-20 ,Accounting/Finance,0-49 ,2,27499.5
22-24,Man,Brazil,Master’s degree,Data Analyst,3-5 ,Online Business/Internet-based Sales,"1000-9,999 ",2,1499.5
50-54,Man,Colombia,Master’s degree,Software Engineer,20+ ,Academics/Education,50-249 ,9,4499.5
50-54,Man,Other,Doctoral degree,Program/Project Manager,I have never written code,Manufacturing/Fabrication,0-49 ,0,499.5
35-39,Man,Egypt,Doctoral degree,Research Scientist,< 1 ,Academics/Education,50-249 ,1,4499.5
35-39,Woman,France,Master’s degree,Other,< 1 ,Retail/Sales,250-999 ,2,4499.5
40-44,Man,Mexico,Master’s degree,Other,5-10 ,Manufacturing/Fabrication,250-999 ,2,44999.5
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,0-49 ,3,2499.5
70+,Man,Germany,Doctoral degree,Other,20+ ,Academics/Education,"1000-9,999 ",3,499.5
22-24,Woman,Other,Bachelor’s degree,Software Engineer,3-5 ,Government/Public Service,250-999 ,2,499.5
22-24,Man,Russia,Bachelor’s degree,Data Scientist,3-5 ,Energy/Mining,"10,000 or more ",1,12499.5
35-39,Man,Germany,Master’s degree,Data Analyst,< 1 ,Medical/Pharmaceutical,0-49 ,1,499.5
22-24,Man,Mexico,Bachelor’s degree,Research Scientist,3-5 ,Academics/Education,"1000-9,999 ",2,499.5
30-34,Man,United States of America,Bachelor’s degree,Business Analyst,1-3 ,Academics/Education,0-49 ,2,22499.5
30-34,Man,Kenya,Bachelor’s degree,Data Scientist,5-10 ,Other,"1000-9,999 ",4,64999.5
25-29,Man,Spain,Bachelor’s degree,Data Analyst,1-3 ,Energy/Mining,"10,000 or more ",2,44999.5
30-34,Man,Indonesia,Master’s degree,Data Scientist,10-20 ,Academics/Education,"1000-9,999 ",2,22499.5
25-29,Man,Sri Lanka,Master’s degree,Research Scientist,5-10 ,Academics/Education,250-999 ,7,499.5
18-21,Woman,India,Bachelor’s degree,Data Analyst,< 1 ,Academics/Education,0-49 ,2,0.0
35-39,Man,Spain,Bachelor’s degree,Software Engineer,5-10 ,Computers/Technology,"1000-9,999 ",3,44999.5
18-21,Woman,India,Bachelor’s degree,Machine Learning Engineer,3-5 ,Academics/Education,0-49 ,3,499.5
30-34,Man,Japan,Bachelor’s degree,Data Scientist,3-5 ,Computers/Technology,0-49 ,3,64999.5
30-34,Man,Mexico,Doctoral degree,Other,< 1 ,Academics/Education,50-249 ,1,6249.5
22-24,Man,Spain,Master’s degree,Data Engineer,3-5 ,Academics/Education,"1000-9,999 ",2,17499.5
35-39,Man,India,Master’s degree,Data Analyst,< 1 ,Other,50-249 ,1,12499.5
30-34,Woman,Nigeria,Master’s degree,Data Analyst,< 1 ,Online Business/Internet-based Sales,0-49 ,2,499.5
30-34,Man,India,Master’s degree,Other,1-3 ,Academics/Education,0-49 ,4,0.0
50-54,Man,Mexico,Master’s degree,Program/Project Manager,5-10 ,Non-profit/Service,0-49 ,2,34999.5
30-34,Man,Belarus,Master’s degree,Research Scientist,< 1 ,Manufacturing/Fabrication,50-249 ,1,499.5
18-21,Man,India,Bachelor’s degree,Software Engineer,3-5 ,Computers/Technology,0-49 ,4,499.5
50-54,Man,Mexico,Doctoral degree,Research Scientist,1-3 ,Academics/Education,"1000-9,999 ",2,22499.5
45-49,Man,Other,Master’s degree,Data Scientist,20+ ,Accounting/Finance,"1000-9,999 ",3,44999.5
25-29,Man,Other,Master’s degree,Research Scientist,1-3 ,Accounting/Finance,0-49 ,1,3499.5
30-34,Man,India,Master’s degree,Data Scientist,10-20 ,Broadcasting/Communications,"10,000 or more ",2,34999.5
45-49,Man,United States of America,Master’s degree,Other,5-10 ,Other,"10,000 or more ",2,2499.5
40-44,Man,Colombia,Bachelor’s degree,Business Analyst,< 1 ,Retail/Sales,0-49 ,1,8749.5
25-29,Man,Bangladesh,Bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,250-999 ,2,2499.5
40-44,Man,Brazil,Master’s degree,Program/Project Manager,10-20 ,Non-profit/Service,50-249 ,3,54999.5
35-39,Man,India,Professional doctorate,Other,< 1 ,Insurance/Risk Assessment,"10,000 or more ",1,6249.5
25-29,Man,Italy,Bachelor’s degree,Business Analyst,< 1 ,Online Service/Internet-based Services,0-49 ,2,22499.5
25-29,Man,Germany,Master’s degree,Research Scientist,3-5 ,Medical/Pharmaceutical,250-999 ,4,12499.5
55-59,Man,United States of America,Doctoral degree,Other,20+ ,Academics/Education,50-249 ,1,74999.5
40-44,Man,Chile,Master’s degree,Data Scientist,3-5 ,Broadcasting/Communications,"1000-9,999 ",1,34999.5
25-29,Man,Japan,Master’s degree,Product Manager,< 1 ,Energy/Mining,"1000-9,999 ",2,34999.5
22-24,Man,Russia,Bachelor’s degree,Business Analyst,< 1 ,Accounting/Finance,"10,000 or more ",2,12499.5
60-69,Man,Kenya,Master’s degree,Other,I have never written code,Computers/Technology,250-999 ,0,2499.5
30-34,Man,India,Master’s degree,Business Analyst,< 1 ,Non-profit/Service,50-249 ,1,12499.5
50-54,Man,United States of America,Master’s degree,Other,I have never written code,Government/Public Service,"10,000 or more ",0,54999.5
55-59,Man,Russia,I prefer not to answer,Software Engineer,20+ ,Energy/Mining,"10,000 or more ",1,44999.5
22-24,Woman,India,Master’s degree,Data Analyst,1-3 ,Academics/Education,0-49 ,3,499.5
30-34,Man,India,Bachelor’s degree,Other,I have never written code,Government/Public Service,"1000-9,999 ",0,499.5
30-34,Man,Portugal,Doctoral degree,Data Scientist,3-5 ,Academics/Education,50-249 ,3,44999.5
22-24,Woman,India,Master’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,50-249 ,1,499.5
22-24,Woman,India,Bachelor’s degree,Machine Learning Engineer,3-5 ,Accounting/Finance,0-49 ,2,22499.5
25-29,Man,India,Master’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,2,499.5
30-34,Man,Spain,Bachelor’s degree,Machine Learning Engineer,1-3 ,Energy/Mining,0-49 ,2,27499.5
25-29,Man,Japan,Master’s degree,Data Scientist,1-3 ,Manufacturing/Fabrication,"1000-9,999 ",4,2499.5
30-34,Man,Philippines,Bachelor’s degree,Data Scientist,5-10 ,Computers/Technology,"1000-9,999 ",3,8749.5
25-29,Man,Brazil,Bachelor’s degree,Business Analyst,< 1 ,Other,0-49 ,5,499.5
25-29,Man,Nigeria,Master’s degree,Data Analyst,1-3 ,Manufacturing/Fabrication,50-249 ,2,499.5
30-34,Man,France,Master’s degree,Data Engineer,5-10 ,Computers/Technology,250-999 ,2,54999.5
35-39,Man,India,Doctoral degree,Other,10-20 ,Academics/Education,250-999 ,5,8749.5
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,20+ ,Shipping/Transportation,0-49 ,2,27499.5
25-29,Woman,Poland,Doctoral degree,Research Scientist,< 1 ,Academics/Education,"1000-9,999 ",2,2499.5
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,3,499.5
35-39,Man,India,Doctoral degree,Other,5-10 ,Academics/Education,250-999 ,3,499.5
25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,2,499.5
22-24,Man,China,Master’s degree,Data Scientist,1-3 ,Government/Public Service,250-999 ,2,22499.5
25-29,Man,Tunisia,Master’s degree,Data Scientist,1-3 ,Medical/Pharmaceutical,0-49 ,3,499.5
22-24,Man,Brazil,Master’s degree,Software Engineer,1-3 ,Non-profit/Service,0-49 ,2,499.5
30-34,Man,China,Master’s degree,Data Analyst,3-5 ,Online Business/Internet-based Sales,250-999 ,3,34999.5
45-49,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 ,Non-profit/Service,0-49 ,1,499.5
18-21,Woman,India,Doctoral degree,Machine Learning Engineer,< 1 ,Academics/Education,0-49 ,3,1499.5
22-24,Man,India,Master’s degree,Machine Learning Engineer,1-3 ,Academics/Education,0-49 ,4,499.5
35-39,Woman,Turkey,Doctoral degree,Statistician,5-10 ,Academics/Education,"1000-9,999 ",1,12499.5
22-24,Woman,India,Bachelor’s degree,Data Scientist,I have never written code,Computers/Technology,0-49 ,0,499.5
22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 ,Computers/Technology,"10,000 or more ",1,4499.5
18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 ,Other,0-49 ,1,499.5
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,0-49 ,7,4499.5
18-21,Man,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 ,Computers/Technology,0-49 ,1,1499.5
50-54,Man,Taiwan,Doctoral degree,Other,20+ ,Computers/Technology,50-249 ,5,44999.5
40-44,Man,Mexico,Master’s degree,Data Scientist,3-5 ,Accounting/Finance,"1000-9,999 ",4,22499.5
35-39,Man,India,Doctoral degree,Other,10-20 ,Academics/Education,"1000-9,999 ",6,3499.5
25-29,Woman,United States of America,Master’s degree,Other,I have never written code,Hospitality/Entertainment/Sports,50-249 ,0,54999.5
25-29,Man,China,Bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,250-999 ,1,3499.5
30-34,Man,China,Master’s degree,Machine Learning Engineer,5-10 ,Computers/Technology,250-999 ,2,44999.5
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Academics/Education,0-49 ,1,499.5
25-29,Woman,China,Master’s degree,Machine Learning Engineer,1-3 ,Online Service/Internet-based Services,"1000-9,999 ",4,34999.5
60-69,Man,Poland,I prefer not to answer,Software Engineer,20+ ,Online Service/Internet-based Services,0-49 ,2,12499.5
40-44,Man,Japan,Master’s degree,Data Scientist,3-5 ,Computers/Technology,250-999 ,4,6249.5
30-34,Man,Argentina,Bachelor’s degree,Data Scientist,3-5 ,Other,250-999 ,4,84999.5
22-24,Man,China,Master’s degree,Data Scientist,3-5 ,Energy/Mining,250-999 ,2,499.5
50-54,Woman,Japan,Master’s degree,Business Analyst,1-3 ,Computers/Technology,0-49 ,3,499.5
25-29,Man,Thailand,Master’s degree,Data Scientist,3-5 ,Retail/Sales,250-999 ,2,22499.5
25-29,Man,Nigeria,Master’s degree,Research Scientist,< 1 ,Academics/Education,"1000-9,999 ",1,22499.5
30-34,Man,France,Doctoral degree,Data Scientist,5-10 ,Medical/Pharmaceutical,"10,000 or more ",3,74999.5
30-34,Man,Other,Master’s degree,DBA/Database Engineer,5-10 ,Computers/Technology,0-49 ,3,6249.5
40-44,Man,India,Doctoral degree,Program/Project Manager,< 1 ,Accounting/Finance,"10,000 or more ",1,74999.5
60-69,Man,Canada,Bachelor’s degree,Software Engineer,20+ ,Computers/Technology,0-49 ,0,499.5
22-24,Woman,India,Bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,0-49 ,1,499.5
25-29,Woman,Turkey,Master’s degree,Data Scientist,5-10 ,Manufacturing/Fabrication,0-49 ,2,22499.5
30-34,Man,Russia,Master’s degree,Other,1-3 ,Energy/Mining,50-249 ,1,12499.5
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,0-49 ,6,499.5
30-34,Prefer not to say,Israel,Master’s degree,Data Scientist,5-10 ,Energy/Mining,"1000-9,999 ",1,74999.5
25-29,Man,United States of America,Master’s degree,Research Scientist,1-3 ,Academics/Education,0-49 ,1,27499.5
25-29,Man,India,Master’s degree,Data Scientist,< 1 ,Accounting/Finance,"1000-9,999 ",1,6249.5
30-34,Man,Argentina,Bachelor’s degree,Other,< 1 ,Accounting/Finance,50-249 ,1,6249.5
35-39,Man,Other,Master’s degree,Software Engineer,10-20 ,Computers/Technology,0-49 ,3,44999.5
40-44,Man,Other,Doctoral degree,Research Scientist,3-5 ,Academics/Education,0-49 ,0,499.5
35-39,Woman,Other,Bachelor’s degree,Data Analyst,5-10 ,Academics/Education,250-999 ,6,3499.5
35-39,Man,United States of America,Bachelor’s degree,Other,< 1 ,Insurance/Risk Assessment,"10,000 or more ",1,84999.5
40-44,Woman,Turkey,Master’s degree,Business Analyst,10-20 ,Other,250-999 ,3,12499.5
22-24,Man,Turkey,Master’s degree,Program/Project Manager,20+ ,Energy/Mining,0-49 ,3,0.0
25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 ,Medical/Pharmaceutical,50-249 ,4,499.5
25-29,Man,India,Master’s degree,Data Analyst,3-5 ,Computers/Technology,"10,000 or more ",3,1499.5
40-44,Man,Israel,Master’s degree,Program/Project Manager,1-3 ,Military/Security/Defense,"10,000 or more ",1,74999.5
25-29,Woman,Russia,Bachelor’s degree,Data Scientist,3-5 ,Broadcasting/Communications,50-249 ,1,34999.5
35-39,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"1000-9,999 ",3,27499.5
50-54,Man,Ireland,No formal education past high school,Other,20+ ,Hospitality/Entertainment/Sports,0-49 ,2,44999.5
35-39,Man,Hong Kong (S.A.R.),Bachelor’s degree,Software Engineer,20+ ,Computers/Technology,0-49 ,5,64999.5
30-34,Man,Russia,Master’s degree,Data Scientist,1-3 ,Computers/Technology,0-49 ,3,34999.5
50-54,Man,India,Master’s degree,Data Analyst,3-5 ,Accounting/Finance,0-49 ,3,499.5
30-34,Woman,Pakistan,Doctoral degree,Machine Learning Engineer,3-5 ,Computers/Technology,50-249 ,2,6249.5
30-34,Man,China,Bachelor’s degree,Machine Learning Engineer,5-10 ,Retail/Sales,"1000-9,999 ",1,74999.5
22-24,Man,Ukraine,Master’s degree,Software Engineer,3-5 ,Manufacturing/Fabrication,0-49 ,3,6249.5
50-54,Man,Algeria,Master’s degree,Other,I have never written code,Government/Public Service,50-249 ,0,4499.5
22-24,Man,India,Master’s degree,Software Engineer,< 1 ,Computers/Technology,0-49 ,4,499.5
35-39,Woman,United States of America,Master’s degree,Data Analyst,20+ ,Accounting/Finance,250-999 ,2,74999.5
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,3-5 ,Academics/Education,"10,000 or more ",2,499.5
25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 ,Academics/Education,0-49 ,2,499.5
25-29,Man,France,Master’s degree,Data Scientist,3-5 ,Marketing/CRM,0-49 ,1,0.0
30-34,Man,Other,Doctoral degree,Data Scientist,5-10 ,Computers/Technology,50-249 ,2,54999.5
40-44,Man,India,Master’s degree,Program/Project Manager,10-20 ,Computers/Technology,"10,000 or more ",5,4499.5
30-34,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 ,Manufacturing/Fabrication,50-249 ,1,12499.5
45-49,Man,Spain,Master’s degree,Other,1-3 ,Energy/Mining,0-49 ,1,64999.5
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-3 ,Insurance/Risk Assessment,0-49 ,2,54999.5
55-59,Man,Japan,Master’s degree,Other,I have never written code,Other,"10,000 or more ",0,8749.5
30-34,Woman,United States of America,Master’s degree,Business Analyst,< 1 ,Academics/Education,0-49 ,3,499.5
30-34,Man,Saudi Arabia,Master’s degree,Data Scientist,5-10 ,Energy/Mining,"10,000 or more ",4,64999.5
40-44,Man,India,Master’s degree,Data Scientist,3-5 ,Government/Public Service,"10,000 or more ",5,0.0
30-34,Man,Belgium,Master’s degree,Research Scientist,10-20 ,Computers/Technology,"10,000 or more ",2,74999.5
40-44,Man,Nigeria,Master’s degree,Machine Learning Engineer,3-5 ,Broadcasting/Communications,50-249 ,1,1499.5
30-34,Woman,China,Bachelor’s degree,Business Analyst,5-10 ,Energy/Mining,"10,000 or more ",4,34999.5
25-29,Man,Other,Doctoral degree,Research Scientist,1-3 ,Medical/Pharmaceutical,250-999 ,2,74999.5
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Software Engineer,1-3 ,Academics/Education,"1000-9,999 ",1,54999.5
50-54,Man,Brazil,No formal education past high school,Research Scientist,20+ ,Academics/Education,"1000-9,999 ",2,44999.5
25-29,Man,India,Bachelor’s degree,Data Analyst,5-10 ,Accounting/Finance,"10,000 or more ",2,6249.5
22-24,Man,Bangladesh,Bachelor’s degree,Data Engineer,1-3 ,Academics/Education,0-49 ,4,1499.5
22-24,Man,Bangladesh,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,0-49 ,2,12499.5
22-24,Man,Singapore,Bachelor’s degree,Other,1-3 ,Government/Public Service,"1000-9,999 ",1,27499.5
40-44,Man,India,Master’s degree,Research Scientist,< 1 ,Computers/Technology,50-249 ,6,499.5
60-69,Man,Japan,Doctoral degree,Other,20+ ,Government/Public Service,50-249 ,1,34999.5
25-29,Man,Brazil,Master’s degree,Data Analyst,1-3 ,Government/Public Service,"1000-9,999 ",2,1499.5
25-29,Man,Colombia,Bachelor’s degree,Software Engineer,3-5 ,Computers/Technology,0-49 ,3,6249.5
50-54,Man,Turkey,Master’s degree,Other,I have never written code,Government/Public Service,"10,000 or more ",0,12499.5
40-44,Man,Canada,Bachelor’s degree,Program/Project Manager,5-10 ,Government/Public Service,"1000-9,999 ",2,64999.5
25-29,Man,Ghana,Bachelor’s degree,Other,1-3 ,Medical/Pharmaceutical,0-49 ,1,499.5
35-39,Man,United States of America,Bachelor’s degree,Product Manager,5-10 ,Medical/Pharmaceutical,"10,000 or more ",1,0.0
30-34,Man,Other,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 ,Non-profit/Service,0-49 ,2,499.5
40-44,Man,Nigeria,Master’s degree,Other,< 1 ,Academics/Education,"1000-9,999 ",0,4499.5
25-29,Woman,India,Bachelor’s degree,Software Engineer,3-5 ,Computers/Technology,"10,000 or more ",2,6249.5
25-29,Man,United States of America,Master’s degree,Data Analyst,3-5 ,Manufacturing/Fabrication,250-999 ,1,64999.5
35-39,Man,Brazil,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,0-49 ,2,4499.5
40-44,Man,Egypt,I prefer not to answer,Machine Learning Engineer,5-10 ,Manufacturing/Fabrication,50-249 ,0,2499.5
22-24,Man,India,Bachelor’s degree,Other,5-10 ,Online Service/Internet-based Services,50-249 ,1,4499.5
25-29,Man,Saudi Arabia,Bachelor’s degree,Program/Project Manager,10-20 ,Computers/Technology,0-49 ,6,1499.5
50-54,Man,Germany,I prefer not to answer,Other,20+ ,Academics/Education,250-999 ,5,499.5
30-34,Woman,Sweden,Master’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,50-249 ,3,54999.5
40-44,Man,Japan,Bachelor’s degree,Software Engineer,20+ ,Manufacturing/Fabrication,"10,000 or more ",1,4499.5
40-44,Woman,Canada,Some college/university study without earning a bachelor’s degree,Other,< 1 ,Other,0-49 ,2,2499.5
30-34,Man,Turkey,Master’s degree,Data Scientist,5-10 ,Energy/Mining,"1000-9,999 ",3,12499.5
25-29,Woman,Sri Lanka,Bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,0-49 ,1,1499.5
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 ,Government/Public Service,0-49 ,1,499.5
25-29,Man,Japan,Master’s degree,Research Scientist,3-5 ,Medical/Pharmaceutical,"1000-9,999 ",1,44999.5
18-21,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,3-5 ,Academics/Education,"1000-9,999 ",1,499.5
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 ,Academics/Education,0-49 ,2,0.0
18-21,Man,Peru,Bachelor’s degree,Business Analyst,< 1 ,Energy/Mining,0-49 ,3,499.5
35-39,Man,Malaysia,Master’s degree,Other,I have never written code,Government/Public Service,50-249 ,0,17499.5
50-54,Man,Germany,Master’s degree,Product Manager,< 1 ,Computers/Technology,"1000-9,999 ",1,64999.5
25-29,Man,South Korea,Master’s degree,Software Engineer,3-5 ,Computers/Technology,0-49 ,3,17499.5
55-59,Man,South Korea,Professional doctorate,Machine Learning Engineer,5-10 ,Academics/Education,0-49 ,3,12499.5
25-29,Man,Viet Nam,Master’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,50-249 ,1,27499.5
50-54,Man,Other,Bachelor’s degree,Program/Project Manager,I have never written code,Non-profit/Service,50-249 ,0,499.5
40-44,Woman,Italy,Doctoral degree,Data Scientist,20+ ,Shipping/Transportation,250-999 ,3,0.0
25-29,Woman,India,Master’s degree,Data Scientist,1-3 ,Academics/Education,"10,000 or more ",2,27499.5
45-49,Man,India,Master’s degree,Software Engineer,20+ ,Computers/Technology,250-999 ,1,17499.5
25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Academics/Education,"1000-9,999 ",1,499.5
25-29,Man,Spain,Master’s degree,Data Scientist,< 1 ,Computers/Technology,250-999 ,4,27499.5
30-34,Man,Colombia,Master’s degree,Software Engineer,3-5 ,Other,"1000-9,999 ",3,2499.5
35-39,Woman,Egypt,Professional doctorate,Machine Learning Engineer,5-10 ,Academics/Education,"1000-9,999 ",1,6249.5
40-44,Man,Germany,Master’s degree,Program/Project Manager,1-3 ,Accounting/Finance,50-249 ,1,84999.5
25-29,Woman,India,Bachelor’s degree,Software Engineer,3-5 ,Computers/Technology,"10,000 or more ",1,8749.5
22-24,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,I have never written code,Academics/Education,50-249 ,0,2499.5
45-49,Man,Japan,Professional doctorate,Data Scientist,10-20 ,Medical/Pharmaceutical,"1000-9,999 ",3,64999.5
25-29,Man,India,Master’s degree,Data Scientist,3-5 ,Computers/Technology,0-49 ,5,1499.5
55-59,Man,Singapore,Master’s degree,Data Scientist,20+ ,Retail/Sales,0-49 ,9,8749.5
22-24,Man,Other,Bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,0-49 ,1,499.5
35-39,Man,Ukraine,Master’s degree,Software Engineer,10-20 ,Accounting/Finance,0-49 ,2,22499.5
30-34,Woman,"Iran, Islamic Republic of...",Doctoral degree,Machine Learning Engineer,10-20 ,Academics/Education,"1000-9,999 ",1,499.5
18-21,Woman,Brazil,Bachelor’s degree,Data Analyst,5-10 ,Accounting/Finance,"1000-9,999 ",3,3499.5
22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,250-999 ,1,3499.5
30-34,Man,India,Master’s degree,Software Engineer,5-10 ,Medical/Pharmaceutical,"10,000 or more ",2,17499.5
25-29,Man,Indonesia,Master’s degree,Program/Project Manager,< 1 ,Other,0-49 ,3,4499.5
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,< 1 ,Retail/Sales,0-49 ,2,12499.5
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,1-3 ,Manufacturing/Fabrication,250-999 ,2,0.0
22-24,Woman,United States of America,Bachelor’s degree,Other,3-5 ,Military/Security/Defense,"10,000 or more ",2,74999.5
45-49,Man,Colombia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 ,Government/Public Service,0-49 ,2,2499.5
22-24,Man,Poland,Bachelor’s degree,Software Engineer,3-5 ,Insurance/Risk Assessment,50-249 ,3,27499.5
25-29,Man,Japan,Some college/university study without earning a bachelor’s degree,Other,< 1 ,Shipping/Transportation,"1000-9,999 ",2,3499.5
30-34,Man,Germany,Bachelor’s degree,Data Scientist,1-3 ,Online Service/Internet-based Services,0-49 ,1,1499.5
25-29,Man,Singapore,Bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,"10,000 or more ",3,2499.5
22-24,Woman,India,Bachelor’s degree,Data Scientist,1-3 ,Marketing/CRM,250-999 ,3,499.5
18-21,Woman,India,Bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,"10,000 or more ",4,0.0
35-39,Man,India,Bachelor’s degree,Software Engineer,5-10 ,Other,"10,000 or more ",1,17499.5
25-29,Woman,India,Bachelor’s degree,DBA/Database Engineer,5-10 ,Manufacturing/Fabrication,"10,000 or more ",2,12499.5
50-54,Man,Spain,No formal education past high school,Data Analyst,< 1 ,Academics/Education,0-49 ,1,2499.5
50-54,Man,Japan,Some college/university study without earning a bachelor’s degree,Program/Project Manager,20+ ,Computers/Technology,"10,000 or more ",5,54999.5
30-34,Woman,India,Bachelor’s degree,Business Analyst,1-3 ,Computers/Technology,0-49 ,4,1499.5
40-44,Woman,India,Master’s degree,Other,3-5 ,Computers/Technology,0-49 ,3,499.5
35-39,Woman,India,Master’s degree,Other,5-10 ,Computers/Technology,0-49 ,4,27499.5
30-34,Man,Japan,Master’s degree,Data Scientist,10-20 ,Manufacturing/Fabrication,"10,000 or more ",2,64999.5
22-24,Man,China,Doctoral degree,Data Analyst,< 1 ,Academics/Education,0-49 ,3,499.5
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Machine Learning Engineer,1-3 ,Energy/Mining,"10,000 or more ",3,34999.5
22-24,Woman,India,I prefer not to answer,Other,3-5 ,Computers/Technology,"10,000 or more ",1,4499.5
25-29,Man,Nigeria,Master’s degree,Other,< 1 ,Medical/Pharmaceutical,"1000-9,999 ",1,0.0
50-54,Man,Taiwan,Some college/university study without earning a bachelor’s degree,Statistician,< 1 ,Computers/Technology,50-249 ,1,499.5
25-29,Man,Spain,Bachelor’s degree,Data Engineer,5-10 ,Accounting/Finance,0-49 ,2,27499.5
30-34,Man,Other,Bachelor’s degree,Machine Learning Engineer,5-10 ,Shipping/Transportation,250-999 ,3,64999.5
50-54,Woman,Colombia,Master’s degree,Other,< 1 ,Energy/Mining,"10,000 or more ",3,6249.5
